sigma0,broken_L2_rel
0,5.13658e-05
0.5510204081632653,5.58074e-05
1.102040816326531,6.13684e-05
1.653061224489796,6.906640000000001e-05
2.204081632653061,7.859139999999999e-05
2.755102040816326,9.13153e-05
3.306122448979592,0.000111194
3.857142857142857,0.000143954
4.408163265306122,0.00020828
4.959183673469387,0.000391997
5.510204081632653,0.288768
6.061224489795918,0.000442816
6.612244897959183,0.000206946
7.163265306122448,0.000132985
7.714285714285714,9.687709999999999e-05
8.26530612244898,7.55235e-05
8.816326530612244,6.14455e-05
9.367346938775508,5.14901e-05
9.918367346938775,4.40979e-05
10.46938775510204,3.84089e-05
11.02040816326531,3.39103e-05
11.57142857142857,3.02771e-05
12.12244897959184,2.72934e-05
12.6734693877551,2.48102e-05
13.22448979591837,2.27212e-05
13.77551020408163,2.09485e-05
14.3265306122449,1.94338e-05
14.87755102040816,1.81322e-05
15.42857142857143,1.70091e-05
15.97959183673469,1.60366e-05
16.53061224489796,1.51924e-05
17.08163265306122,1.44585e-05
17.63265306122449,1.38198e-05
18.18367346938775,1.32636e-05
18.73469387755102,1.27793e-05
19.28571428571428,1.2358e-05
19.83673469387755,1.19917e-05
20.38775510204081,1.16739e-05
20.93877551020408,1.13985e-05
21.48979591836735,1.11605e-05
22.04081632653061,1.09554e-05
22.59183673469387,1.07793e-05
23.14285714285714,1.06287e-05
23.69387755102041,1.05005e-05
24.24489795918367,1.03921e-05
24.79591836734694,1.03011e-05
25.3469387755102,1.02254e-05
25.89795918367347,1.01631e-05
26.44897959183673,1.01127e-05
27,1.00727e-05
