threads,mean_wall_time,stddev_wall_time
1,11.842788043664768,0.08829412771736099
2,8.569389730982948,0.16900134991467028
4,6.679919605997081,0.1784891413059152
6,6.225302354665473,0.19982486098772542
8,6.0716433640142595,0.29977156172070885
10,5.937554742326029,0.10329313711387415
12,6.173297064669896,0.23686607122342282
14,5.803368012653664,0.060092127909201855
16,6.0870210126546835,0.2823405332281844
18,6.088349656648158,0.22850710629929813
20,6.124615925655235,0.27656415407964025
22,6.166523182667636,0.25848807695888654
24,6.115547655014477,0.07219278760623249
