sigma0,broken_L2_rel
0,0.000193575
0.5510204081632653,2.10724e-05
1.102040816326531,0.000183173
1.653061224489796,5.37001e-05
2.204081632653061,0.000124462
2.755102040816326,0.000389254
3.306122448979592,0.00244463
3.857142857142857,0.00123452
4.408163265306122,0.000838662
4.959183673469387,8.49945e-05
5.510204081632653,0.00280171
6.061224489795918,7.83425e-05
6.612244897959183,2.5432e-05
7.163265306122448,1.88049e-05
7.714285714285714,1.53237e-05
8.26530612244898,1.30263e-05
8.816326530612244,1.13629e-05
9.367346938775508,1.00926e-05
9.918367346938775,9.08698e-06
10.46938775510204,8.269569999999999e-06
11.02040816326531,7.59136e-06
11.57142857142857,7.01929e-06
12.12244897959184,6.53014e-06
12.6734693877551,6.1071e-06
13.22448979591837,5.73765e-06
13.77551020408163,5.41228e-06
14.3265306122449,5.1236e-06
14.87755102040816,4.86582e-06
15.42857142857143,4.6343e-06
15.97959183673469,4.4253e-06
16.53061224489796,4.23575e-06
17.08163265306122,4.06311e-06
17.63265306122449,3.90529e-06
18.18367346938775,3.76051e-06
18.73469387755102,3.62727e-06
19.28571428571428,3.50429e-06
19.83673469387755,3.39048e-06
20.38775510204081,3.28489e-06
20.93877551020408,3.18669e-06
21.48979591836735,3.09519e-06
22.04081632653061,3.00975e-06
22.59183673469387,2.92981e-06
23.14285714285714,2.8549e-06
23.69387755102041,2.78458e-06
24.24489795918367,2.71847e-06
24.79591836734694,2.65622e-06
25.3469387755102,2.59754e-06
25.89795918367347,2.54213e-06
26.44897959183673,2.48977e-06
27,2.44022e-06
