threads,mean_wall_time,stddev_wall_time
1,44.5024170903489,0.09597641481855691
2,45.328214258265994,0.08828077117472141
4,45.51577891937146,0.014675388640388256
6,45.78544698935002,0.10435506973036879
8,45.89039761635164,0.0381287665229769
10,46.01698400390645,0.043857562935014624
12,45.9314936529845,0.1988237230343767
14,46.220269134268165,0.0965645902899544
16,46.21085828139136,0.06495487604399484
18,46.207213457363345,0.1267475536738428
20,46.19963971991092,0.10708111617235143
22,46.22987940069288,0.16186160268028207
24,46.25253284815699,0.014547038024120551
26,46.2775521526734,0.10504144739700659
28,46.28267080523074,0.156185639483171
30,46.470174887528024,0.07605693638342659
32,46.38379703089595,0.2467631763870987
34,46.158131482700504,0.044636618037468274
36,46.36914655783524,0.20631765268877855
38,46.47850282893827,0.30103367774892015
40,46.454962473362684,0.24889200871943107
42,46.48285723570734,0.21440930183453477
44,46.44651973309616,0.18149382900893965
46,46.506590027051665,0.2768105111165294
48,46.651272766912975,0.034608792441295236
