threads,mean_wall_time,stddev_wall_time
1,17.95311475886653,0.1425131544922885
2,13.31355837235848,0.029796699291605177
4,10.316247559462985,0.03904187096138085
6,9.17446682912608,0.009025409966365062
8,8.616896414818862,0.017911519158265044
10,8.330051857978106,0.008037565535849443
12,8.141312620292107,0.016504971781385394
14,8.021568512233594,0.00846962079593523
16,7.892833446152508,0.00459268862647737
18,7.838782901254793,0.011039700437112651
20,7.807906312867999,0.014429947849643281
22,7.7941054394468665,0.001487983196455685
24,7.85812462028116,0.11851188202387762
26,7.863651622707645,0.07069856797100914
28,7.844802116664748,0.007883198463078101
30,7.829916417288284,0.008263721472001318
32,7.86495300506552,0.012934033562673093
34,7.8714205753058195,0.00962016494741702
36,7.875904261445005,0.013985437272983634
38,7.862663206644356,0.008243123808985354
40,7.865859630517662,0.0034202565671323393
42,7.887668598132829,0.017124161519203332
44,7.879879951477051,0.009000636718184756
46,7.891544637270272,0.017770799579436218
48,7.889301960046093,0.002605667358680507
