threads,mean_wall_time,stddev_wall_time
1,421.6656030745556,0.6093555573801005
2,423.62000648863614,1.2935393415207823
4,424.9799704685186,0.4066771519035914
6,425.42692301391315,0.48491264840264026
8,427.0159441381693,1.0904535223412057
10,427.4088753173128,0.8544882328743352
12,428.32590210965526,1.119685940285195
14,429.8567504696548,1.0489464323345647
16,430.2176454269017,0.8864471279589156
18,431.17737035670626,1.2133879437206954
20,430.13004606217146,0.033995698020191985
22,430.6505086819331,0.28880240523164075
24,432.0647642143692,0.25548932363687665
26,431.7509287803744,0.3649856018381701
28,431.8722757225235,0.15412282439266167
30,432.82504660574097,0.39043305125273364
32,434.344935290205,1.0996548881212207
34,434.2331052105874,1.4289150424601595
36,433.5754603240639,0.8639667728409022
38,433.49822670500726,1.471140463704579
40,434.16715775833774,0.618351618966231
42,433.6702184593305,0.6062756196353631
44,435.18144259726006,0.3544296968693331
46,434.11741165847826,0.10574456274220562
48,435.1560562656571,0.782965244735371
