threads,mean_wall_time,stddev_wall_time
1,8.051983908129236,0.2107447775430063
2,6.208591803908348,0.006370735898937176
4,5.0524177712698775,0.008905793093923949
6,4.674346641637385,0.004147624092119451
8,4.478153571796914,0.07098506975034742
10,4.344306269971033,0.001534875413823975
12,4.263140456130107,0.00895590442167176
14,4.217835869640112,0.003888674513907488
16,4.181190696855386,0.0015829996602184232
18,4.156103729891281,0.006275588689582304
20,4.135884589205186,0.00845147653897805
22,4.137246178152661,0.003031752481303396
24,4.1362834526225924,0.006227654341467648
26,4.16707788563023,0.005056810734685589
28,4.188577069590489,0.002385018825587827
30,4.185169307825466,0.02265430698187202
32,4.224261377006769,0.005048816343654365
34,4.227483884431422,0.004750993826738571
36,4.2299022218212485,0.0040190646545207
38,4.2365763469909625,0.007427579786436279
40,4.239432822292049,0.012381275193671729
42,4.249917923783262,0.006922240249003176
44,4.247394148570796,0.005584048449783771
46,4.256245234049857,0.0021744300354374665
48,4.268261819767456,0.005552106408801887
